,X,Y,tdx12_Araca,tdx30_Araca,srtm30_Araca,srtm30_wgs84_Araca,aster30_Araca,aster30_wgs84_Araca,aw3d30_Araca,aw3d30_wgs84_Araca
7234,-63.48783515,0.43736713,37.39195,37.61753,49.0,42.70984316,32.0,25.70984316,48.0,41.71045021
7235,-63.71636133,0.24319815,52.91635,55.30106,60.0,54.33959337,55.0,49.33959337,60.0,54.33959337
7236,-63.64609613,0.56489925,44.66215,46.41433,57.0,50.98933486,44.0,37.98933486,55.0,48.98948728
7237,-63.68884555,0.98767278,114.2305,114.3642,128.0,121.86118397,117.0,110.86118397,127.0,120.86132567
7238,-63.79451909,0.44586789,48.60641,47.51834,55.0,49.39565012,58.0,52.39565012,52.0,46.39565012
7239,-63.53174937,0.07192402,33.68243,32.45803,36.0,30.02620698,33.0,27.02620698,NaN,NaN
7240,-63.27774842,0.97245238,949.7314,948.5224,953.0,946.01074854,958.0,951.01074854,NaN,NaN
7241,-63.961893,0.98605146,76.97007,77.45618,85.0,79.46156031,81.0,75.46156031,84.0,78.46172279
7242,-63.08628567,0.65136253,46.59615,46.53086,53.0,45.76175048,60.0,52.76175048,52.0,44.76243668
7243,-63.40346791,0.67702256,NaN,NaN,52.0,45.40563941,39.0,32.40563941,NaN,NaN
7244,-63.13190609,0.80743147,74.87623,74.81906,85.0,77.78575372,78.0,70.78575372,84.0,76.78643407
7245,-63.05347351,0.8750583,118.9314,119.7855,128.0,120.59984344,118.0,110.59984344,129.0,121.6005136
7246,-63.16541809,0.03328292,40.24542,33.06404,38.0,31.24735692,41.0,34.24735692,NaN,NaN
7247,-63.93616092,0.08948394,62.8774,59.53634,66.0,60.97289079,76.0,70.97289079,67.0,61.97289079
7248,-63.64294656,0.90610009,79.33665,79.00052,85.0,78.80414177,88.0,81.80414177,87.0,80.80428185
7249,-63.37863702,0.40573529,29.61371,31.70765,41.0,34.49021778,34.0,27.49021778,NaN,NaN
7250,-63.90546425,0.75205133,83.5146,83.0214,91.0,85.46993972,86.0,80.46993972,88.0,82.47010225
7251,-63.32516499,0.15790065,30.46242,30.64194,37.0,30.51420642,23.0,16.51420642,NaN,NaN
7252,-63.02349789,0.74245384,57.54375,56.82118,67.0,59.59568858,66.0,58.59568858,68.0,60.59636323
7253,-63.89883928,0.8185909,68.73812,69.86021,80.0,74.41616959,70.0,64.41616959,81.0,75.41632976
7254,-63.28199446,0.40202642,33.91311,33.79771,45.0,38.28625427,45.0,38.28625427,NaN,NaN
7255,-63.02205139,0.82485277,68.19386,69.84904,81.0,73.55813313,70.0,62.55813313,NaN,NaN
