,tdx30_SantaCatarina,tdx30_slope_SantaCatarina
924,5.26686,3.404946
925,29.54433,9.103934
926,402.4044,24.59133
927,6.083264,0.1158731
928,10.20069,6.76453
929,3.918738,1.010409
930,619.1533,20.90527
931,12.29245,1.200153
932,429.4893,15.97023
933,78.97106,28.93581
934,273.3633,9.796844
935,583.7492,23.38456
936,507.3161,17.69639
937,100.9344,21.23844
938,625.2552,20.55817
939,143.7224,16.09424
940,99.3773,23.13161
941,0.9259213,0.38756
942,49.27501,6.955132
943,578.1097,18.20107
944,148.362,13.96658
945,1.649616,0.6629093
946,148.7146,22.93317
947,660.1675,27.82872
948,922.3563,25.28861
949,7.4614,2.361037
950,13.43395,3.029753
951,6.50524,0.5577542
952,35.31138,10.1671
953,18.22532,1.950548
954,38.37631,11.57888
955,847.4686,1.287097
956,443.7529,17.31417
957,141.273,18.64798
958,756.8527,29.43463
959,681.699,23.40525
960,37.59787,10.18313
961,661.0527,17.93418
962,53.85799,18.61137
963,199.5037,20.24645
964,879.2075,3.36401
965,56.2672,14.56444
966,130.5096,24.75176
967,211.7185,19.01435
968,58.06999,10.94697
969,600.1914,19.98772
970,1.417469,0.226497
971,151.7996,18.20564
972,203.54,20.96944
973,1.848213,0.4020293
974,24.43661,11.33119
975,148.1132,20.36301
976,606.3932,17.9934
977,380.7004,22.39175
978,914.7175,12.24552
979,499.0615,21.84496
980,542.4071,15.89225
981,6.351418,0.2637081
982,512.9342,8.943185
983,3.742079,0.4468449
984,657.137,18.91724
985,3.035425,8.513246
986,237.5845,24.21856
987,135.3494,10.36085
988,291.1078,22.03017
989,32.26363,6.410883
990,215.4825,22.62561
991,149.1314,24.36605
992,81.82726,25.89446
993,571.8428,9.06862
994,622.9225,18.40182
995,58.26972,14.04377
996,3.878903,0.3334355
997,150.2484,10.01072
998,2.591203,0.2265556
999,547.8992,20.658
1000,172.3862,24.18063
1001,305.7108,8.85687
1002,562.0718,13.16492
1003,623.2339,29.41951
1004,19.36982,6.505828
1005,299.3693,17.99463
1006,2.237427,0.4849392
1007,115.6264,22.9639
1008,88.31457,14.35456
1009,6.372163,1.06223
1010,148.1761,24.11541
1011,481.7892,11.734
1012,5.00156,0.5280197
1013,302.5541,13.31397
1014,11.30552,3.929517
1015,576.354,15.49972
1016,14.99821,10.26656
1017,1044.613,1.414654
1018,8.149723,1.848948
1019,42.14561,1.896528
1020,15.92315,0.8084604
1021,728.6999,16.48919
1022,474.3044,29.71799
1023,30.58114,17.88425
1024,101.4795,15.91859
1025,9.265418,0.7633306
1026,68.1984,17.53747
1027,264.7086,16.26161
1028,93.08851,13.33864
1029,4.147364,0.613367
1030,475.6223,23.61586
1031,188.7243,22.10481
1032,495.4913,10.50957
1033,6.967276,0.6660929
1034,18.97609,15.2198
1035,29.4262,0.5323636
1036,194.4532,33.65276
1037,244.7667,17.29326
1038,419.9786,22.26769
1039,2.514014,6.181273
1040,175.6511,15.56975
1041,4.668671,1.261398
1042,193.8057,4.82116
1043,143.5058,23.30621
1044,801.1913,20.83737
1045,173.093,20.58447
1046,619.0213,21.40174
1047,653.3452,30.31776
1048,725.1976,25.17297
1049,112.5867,10.62268
1050,7.50223,NaN
1051,413.038,21.71682
1052,6.970366,0.9391894
1053,50.91026,16.08165
1054,5.186687,4.122035
1055,306.1271,20.82701
1056,22.84982,20.528
1057,460.4767,31.29323
1058,1.417079,0.06641988
1059,422.625,28.08803
1060,148.2039,12.06745
1061,56.81899,5.919187
1062,126.0073,2.886015
1063,446.9528,22.70132
1064,17.80164,7.76338
1065,3.463995,0.4421067
1066,534.1265,38.34643
1067,189.655,15.72404
1068,334.4666,25.51774
1069,2.252639,0.134906
1070,158.0674,30.44572
1071,820.0671,27.78485
1072,631.2786,5.299631
1073,304.322,13.49424
1074,507.8629,21.21119
1075,597.2661,7.293667
1076,452.6873,14.58221
1077,138.4792,19.21845
1078,74.15056,21.81792
1079,3.570039,0.1884837
1080,266.804,10.00033
1081,12.29731,7.880552
1082,59.80202,13.42081
1083,141.7509,19.58574
1084,148.8261,22.32094
1085,4.837542,0.0622086
1086,572.7817,24.56622
1087,774.7877,18.21513
1088,5.768764,0.6949456
1089,229.3788,21.59974
1090,403.2768,20.76299
1091,653.7601,35.60221
1092,101.6159,5.734349
1093,381.6486,13.64002
1094,436.1383,25.9976
1095,40.74542,11.72628
1096,369.0776,13.15706
1097,890.9075,16.47882
1098,953.1151,26.04714
1099,507.0676,31.49246
1100,113.6683,3.661364
