,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
345,-62.71137845,-0.22450198,-9999,255:255:255
346,-62.38877147,-0.75882819,0.0,255:255:255
347,-62.56545791,-0.7758982,-9999,255:255:255
348,-62.37404524,-0.78438314,1.0,255:204:204
349,-62.35165034,-0.50530848,0.000479910000003,255:255:255
350,-62.18137796,-0.24312821,1.9995271,153:153:255
351,-62.33089028,-0.74326,4.0,255:51:51
352,-62.64966836,-0.24993528,0.000679680000005,255:255:255
353,-62.89739597,-0.50350133,0.99932049,204:204:255
354,-62.54172445,-0.77653456,-9999,255:255:255
355,-62.71290168,-0.23078338,0.99932179,204:204:255
356,-62.95896774,-0.39979641,2.99954005,102:102:255
357,-62.03583321,-0.19737831,1.0004738,255:204:204
358,-62.48635628,-0.46707278,-9999,255:255:255
359,-62.70917277,-0.5640868,2.0,153:153:255
360,-62.15875236,-0.63135319,1.0,204:204:255
361,-62.7348111,-0.57193043,1.99931755,153:153:255
362,-62.36997614,-0.89712028,4.00068422,255:51:51
363,-62.83883231,-0.79256289,-9999,255:255:255
364,-62.76803474,-0.52733709,-9999,255:255:255
365,-62.08309778,-0.01535481,3.99978024,255:52:52
366,-62.11029417,-0.94745786,1.0,255:204:204
367,-62.67235065,-0.3076883,0.000463780000004,255:255:255
368,-62.65079908,-0.95561507,-9999,255:255:255
369,-62.95948131,-0.70624259,0.99931883,204:204:255
370,-62.98270731,-0.572461,2.00067924,255:153:153
371,-62.66731764,-0.81661698,3.999316,51:51:255
372,-62.83719386,-0.47129758,-9999,255:255:255
373,-62.37015772,-0.17122297,0.99978228,255:205:205
374,-62.36791356,-0.17449405,1.00021758,203:203:255
375,-62.72235823,-0.70799866,-9999,255:255:255
376,-62.53334034,-0.45396138,-9999,255:255:255
377,-62.54861492,-0.68660014,-9999,255:255:255
378,-62.97758473,-0.76325567,3.9993185,51:51:255
379,-62.9298631,-0.57036435,1.00047231,255:204:204
380,-62.5086397,-0.17242473,-9999,255:255:255
381,-62.47231373,-0.87590606,-9999,255:255:255
382,-62.1826968,-0.10428302,1.00021796,203:203:255
383,-62.81412361,-0.67940155,2.99931753,102:102:255
384,-62.8609428,-0.48873464,5.00046905,255:0:0
385,-62.72314586,-0.83061524,-9999,255:255:255
386,-62.83405927,-0.88720425,1.00068316,255:204:204
387,-62.03427443,-0.87287005,1.0,255:204:204
388,-62.68816399,-0.90179141,-9999,255:255:255
389,-62.55801406,-0.85645587,-9999,255:255:255
390,-62.08737629,-0.60890593,1.9997964,255:154:154
391,-62.4324519,-0.86027778,1.00068454,255:204:204
392,-62.59319376,-0.87743107,-9999,255:255:255
393,-62.41290844,-0.16636047,-9999,255:255:255
394,-62.15257028,-0.85295412,1.0,255:204:204
395,-62.15993579,-0.16386152,3.0,102:102:255
396,-62.72999008,-0.5320217,-9999,255:255:255
397,-62.63639739,-0.03730837,0.000227369999998,254:254:255
398,-62.9902371,-0.64089689,0.000475299999998,255:255:255
399,-62.83279635,-0.8186423,1.00019445,203:203:255
400,-62.38457492,-0.92504116,3.0,102:102:255
401,-62.13123687,-0.29692591,4.0,51:51:255
402,-62.92248704,-0.17313187,5.00044534,255:0:0
403,-62.59062996,-0.44871638,1.00020946,203:203:255
404,-62.85677612,-0.99515292,9.999317,0:0:255
405,-62.41743139,-0.07215856,-9999,255:255:255
406,-62.04094205,-0.90961729,1.0,204:204:255
407,-62.0661262,-0.42649293,0.99979175,255:205:205
408,-62.75775627,-0.1445685,-9999,255:255:255
409,-62.85502844,-0.22266642,2.99977645,255:103:103
410,-62.54556341,-0.35973803,-9999,255:255:255
411,-62.55012913,-0.56891544,-9999,255:255:255
412,-62.21485394,-0.06669148,2.0002195,152:152:255
413,-62.86554883,-0.39250093,6.00046275,255:0:0
414,-62.58290954,-0.15513287,1.9995421,153:153:255
415,-62.65907658,-0.05304761,-9999,255:255:255
416,-62.93859957,-0.62901385,3.00068059,255:102:102
417,-62.74947312,-0.38240019,-9999,255:255:255
418,-62.35437707,-0.9213932,5.0004915,255:0:0
419,-62.10363576,-0.281634,2.0,153:153:255
420,-62.57590376,-0.80194289,-9999,255:255:255
421,-62.44272261,-0.19962355,-9999,255:255:255
422,-62.80134423,-0.79953122,-9999,255:255:255
423,-62.41529227,-0.90185214,0.0,255:255:255
424,-62.27666941,-0.17776058,0.0,255:255:255
425,-62.41356663,-0.45118662,-9999,255:255:255
426,-62.84667017,-0.30438518,5.0,0:0:255
427,-62.82975524,-0.69757424,-9999,255:255:255
428,-62.32614736,-0.79346961,1.0,255:204:204
429,-62.04570976,-0.36883665,3.0,102:102:255
430,-62.2668414,-0.8562034,1.0,204:204:255
431,-62.74235379,-0.0227946,2.00044301,255:153:153
432,-62.03930697,-0.57619539,0.99979529,255:205:205
433,-62.7531879,-0.98992902,9.99931677,0:0:255
434,-62.8067034,-0.04817741,0.99976931,255:205:205
435,-62.95303308,-0.72282115,7.00048135,255:0:0
436,-62.7327753,-0.91755406,6.00068356,255:0:0
437,-62.74473379,-0.557958,-9999,255:255:255
438,-62.13405589,-0.48444937,1.99979341,255:154:154
439,-62.19090078,-0.26736755,1.00021295,203:203:255
440,-62.45032983,-0.87954729,1.0,204:204:255
441,-62.61293608,-0.88091464,-9999,255:255:255
442,-62.90368087,-0.26100003,0.0004524,255:255:255
443,-62.45619128,-0.2784342,-9999,255:255:255
444,-62.54470668,-0.3928173,-9999,255:255:255
445,-62.62716379,-0.9165704,-9999,255:255:255
446,-62.28324687,-0.48985268,2.00020637,152:152:255
447,-62.51854422,-0.72407377,-9999,255:255:255
448,-62.14617894,-0.16032561,-9999,255:255:255
449,-62.91608613,-0.60352163,2.00068057,255:153:153
450,-62.2449985,-0.26235596,1.00047244,255:204:204
451,-62.36404985,-0.23066651,2.00021554,152:152:255
452,-62.77091247,-0.78566748,-9999,255:255:255
453,-62.33978747,-0.67830798,0.0,255:255:255
454,-62.18958009,-0.39020596,3.0,102:102:255
455,-62.5608857,-0.97067607,-9999,255:255:255
456,-62.74284148,-0.94338694,-9999,255:255:255
457,-62.27393625,-0.80569011,0.0,255:255:255
458,-62.71851386,-0.88673504,-9999,255:255:255
459,-62.90772131,-0.15513317,0.000444699999996,255:255:255
460,-62.98441662,-0.06502572,0.99956573,204:204:255
461,-62.30706496,-0.58542089,2.0,153:153:255
462,-62.77088948,-0.3923547,-9999,255:255:255
463,-62.50543824,-0.81104609,-9999,255:255:255
464,-62.94613632,-0.47355864,5.00067829,255:0:0
465,-62.83148441,-0.30937122,1.00067745,255:204:204
466,-62.78323087,-0.49654053,-9999,255:255:255
467,-62.63801718,-0.2799298,0.99931966,204:204:255
468,-62.72372158,-0.93280007,1.99931647,153:153:255
469,-62.08028855,-0.54310961,0.000205259999994,254:254:255
470,-62.89917034,-0.75716257,-9999,255:255:255
471,-62.82147004,-0.02667209,0.99956045,204:204:255
472,-62.59595666,-0.03789558,4.00045038,255:51:51
473,-62.51578525,-0.6520356,-9999,255:255:255
474,-62.66173788,-0.21219302,1.0,204:204:255
475,-62.7611073,-0.20563245,2.00045438,255:153:153
476,-62.50578808,-0.43685226,-9999,255:255:255
477,-62.8438632,-0.13061263,2.99955415,102:102:255
478,-62.6643966,-0.56788771,1.99952186,153:153:255
479,-62.09976897,-0.06644024,1.00021838,203:203:255
480,-62.21182198,-0.79804484,0.0,255:255:255
481,-62.84650276,-0.51143972,-9999,255:255:255
482,-62.65043311,-0.23358769,1.99932061,153:153:255
483,-62.01732441,-0.28428914,1.00021191,203:203:255
484,-62.62583138,-0.30972482,2.00046533,255:153:153
485,-62.76996149,-0.60677332,-9999,255:255:255
486,-62.85132505,-0.86159509,0.000683029999998,255:255:255
487,-62.40105202,-0.52310836,0.99951998,204:204:255
488,-62.00259953,-0.97784171,0.0,255:255:255
489,-62.05508818,-0.88721575,3.0,255:102:102
490,-62.49501677,-0.39954201,-9999,255:255:255
491,-62.31560771,-0.85494366,1.0,255:204:204
492,-62.2990795,-0.56916995,0.000203859999999,254:254:255
493,-62.67159549,-0.83980402,-9999,255:255:255
494,-62.43076968,-0.43381635,-9999,255:255:255
495,-62.40022081,-0.70094632,3.0006855,255:102:102
496,-62.91751327,-0.79715871,4.0,51:51:255
497,-62.43967666,-0.72046785,-9999,255:255:255
498,-62.47892424,-0.31058168,-9999,255:255:255
