,aw3d30_wgs84_Barcelos,aw3d30_slope_Barcelos
869,33.8362535,2.321757
870,21.38529332,0.00131412
871,25.50546328,1.766339
872,50.11991976,0.7368311
873,42.36598196,4.215242
874,46.68667878,2.971995
875,43.16034189,2.19662
876,45.10167908,0.4644887
877,NaN,NaN
878,46.25244605,1.636241
879,43.35643233,0.9330134
880,43.11988728,4.051119
881,NaN,NaN
882,NaN,NaN
883,30.80199769,3.500574
884,33.03886752,3.953047
885,33.46756132,5.352071
886,NaN,NaN
887,38.27273382,1.356684
888,31.83399749,0.3292626
889,NaN,NaN
890,43.09342374,2.508297
891,38.00523017,1.473374
892,46.16885605,1.182302
893,NaN,NaN
894,44.04742391,2.626821
895,28.26522292,3.948237
896,NaN,NaN
897,21.59089118,1.672451
898,NaN,NaN
899,NaN,NaN
900,48.91215316,1.64165
901,NaN,NaN
902,NaN,NaN
903,52.54013893,5.660531
904,25.08563195,2.555792
905,NaN,NaN
906,39.49718072,0.6579598
907,39.84837159,4.256257
908,28.81507095,8.456829
909,21.08869965,0.0013129
910,45.02596839,1.77328
911,26.43640156,0.00132151
912,15.99338248,1.677161
913,NaN,NaN
914,NaN,NaN
915,30.69477627,4.675547
916,47.78970035,8.881282
917,46.47950023,4.765372
918,26.42537434,NaN
919,NaN,NaN
920,43.610782,1.357973
921,31.7272482,0.7339405
922,50.15232299,1.766189
923,46.1051658,3.371518
924,41.51440605,0.6561921
925,47.26420993,2.20952
926,NaN,NaN
927,26.67720598,0.00132038
928,31.9150169,1.466885
929,NaN,NaN
930,21.12031293,5.735518
931,43.40785935,2.072224
932,NaN,NaN
933,50.12701019,1.971789
934,26.80309671,2.074471
935,21.21149379,0.00131415
936,47.0194093,2.558132
937,45.75470047,1.180035
938,45.90488905,1.473383
939,47.00888004,2.778445
940,36.49720556,0.9276955
941,49.74124952,4.644257
942,50.10150206,0.6566957
943,NaN,NaN
944,23.97108808,0.4619504
945,47.0946584,1.970561
946,40.83185234,3.037729
947,21.39405283,0.00131381
948,37.71130142,3.991517
949,NaN,NaN
950,42.47669962,4.934083
951,45.73938242,5.289311
952,49.98771811,1.678553
953,NaN,NaN
954,45.77833444,2.325986
955,43.79286272,2.321862
956,23.88309906,1.971862
957,NaN,NaN
958,46.09404376,1.671949
959,28.95976419,3.106226
960,20.93845491,1.467003
961,NaN,NaN
962,42.69145414,1.041483
963,22.5495158,2.795497
964,14.38862545,2.703257
965,41.67036246,4.214496
966,17.80725352,3.238256
967,NaN,NaN
968,NaN,NaN
969,NaN,NaN
970,45.5726405,1.648322
971,45.42905169,7.838357
972,NaN,NaN
973,39.65366374,5.502063
974,28.78316355,0.6566939
975,46.25216235,0.7375947
976,26.23567381,1.995054
977,NaN,NaN
978,NaN,NaN
979,44.64298025,3.476629
980,31.80932537,1.922041
981,43.04920598,3.421839
982,42.16942355,1.764093
983,NaN,NaN
984,41.68246077,2.956479
985,NaN,NaN
986,49.12290082,NaN
987,NaN,NaN
988,41.43031862,2.209548
989,45.88406722,1.773503
990,46.45774391,1.91138
991,NaN,NaN
992,32.92329116,1.467006
993,31.02510716,7.641858
994,25.99258275,8.1663
995,NaN,NaN
996,24.86067028,9.224813
997,46.32388674,1.908885
998,29.54409948,1.313248
999,42.08355971,0.7342125
1000,NaN,NaN
1001,33.32220303,2.082149
1002,40.331951,4.577352
1003,NaN,NaN
1004,NaN,NaN
1005,16.60215615,1.774257
1006,36.43556367,1.356014
1007,NaN,NaN
1008,NaN,NaN
1009,48.29007479,2.110596
1010,NaN,NaN
1011,NaN,NaN
1012,43.83192941,2.319755
1013,NaN,NaN
1014,47.45129901,1.187832
1015,46.18224137,2.798639
1016,21.68104174,0.00131366
1017,30.00809833,5.813413
1018,42.45447088,2.494537
1019,NaN,NaN
1020,32.60338582,2.375282
1021,49.2290737,0.7360378
1022,30.82919131,0.9847164
1023,18.48360137,2.31973
