,aw3d30_wgs84_SantaCatarina,aw3d30_slope_SantaCatarina
1014,10.09771752,2.470457
1015,579.68711779,20.33783
1016,15.1890968,6.043137
1017,1047.52953503,2.453003
1018,10.35188928,1.475892
1019,42.71579574,1.39985
1020,17.11628457,1.042851
1021,735.63238358,21.4282
1022,475.38045814,29.94567
1023,39.17213647,17.81863
1024,NaN,NaN
1025,12.98140322,1.484203
1026,72.09817056,18.76706
1027,266.8349794,17.59794
1028,100.28766149,8.676577
1029,6.04503832,4.481155
1030,480.74536399,16.46993
1031,181.1619617,18.67383
1032,503.30797205,18.4558
1033,6.88826348,0.8206084
1034,12.99467731,4.30821
1035,32.99621282,2.469006
1036,186.79138996,39.96042
1037,249.29604898,15.93204
1038,413.44522898,22.78095
1039,7.11267209,7.39138
1040,175.77043173,17.32039
1041,6.75041058,1.636181
1042,192.59421528,5.983373
1043,130.30379585,19.25364
1044,802.50028569,19.39741
1045,170.6614403,24.56098
1046,606.68885776,16.22367
1047,639.5538922,20.01884
1048,722.52343789,28.4424
1049,110.21269836,18.19604
1050,NaN,NaN
1051,435.7110985,8.811316
1052,7.69710127,2.133328
1053,57.4582445,13.94995
1054,5.69734773,4.924514
1055,301.19285508,26.71831
1056,16.24177516,16.26022
1057,474.13775291,30.81321
1058,NaN,NaN
1059,431.3532801,28.84935
1060,145.66949391,17.13124
1061,56.57627063,6.15739
