,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
467,-56.63801718,-18.2799298,2.00153772,255:128:128
468,-56.72372158,-18.93280007,2.00096042,255:128:128
469,-56.08028855,-18.54310961,1.99950742,255:128:128
470,-56.89917034,-18.75716257,0.0,255:255:255
471,-56.82147004,-18.02667209,3.99903513,0:0:255
472,-56.59595666,-18.03789558,0.00100390999999,255:255:255
473,-56.51578525,-18.6520356,1.00052622,255:192:192
474,-56.66173788,-18.21219302,0.99945037,191:191:255
475,-56.7611073,-18.20563245,5.99902975,0:0:255
476,-56.50578808,-18.43685226,4.00154851,255:0:0
477,-56.8438632,-18.13061263,1.99904432,127:127:255
478,-56.6643966,-18.56788771,0.99952337,191:191:255
479,-56.09976897,-18.06644024,1.0,255:192:192
480,-56.21182198,-18.79804484,3.0,255:64:64
481,-56.84650276,-18.51143972,1.9990633,127:127:255
482,-56.65043311,-18.23358769,0.99845966,191:191:255
483,-56.01732441,-18.28428914,3.0,255:64:64
484,-56.62583138,-18.30972482,1.00099721,255:192:192
485,-56.76996149,-18.60677332,3.00045393,255:64:64
486,-56.85132505,-18.86159509,1.00091891,255:192:192
487,-56.40105202,-18.52310836,0.9989518,191:191:255
488,-56.00259953,-18.97784171,3.0,63:63:255
489,-56.05508818,-18.88721575,2.0,255:128:128
490,-56.49501677,-18.39954201,1.0,255:192:192
491,-56.31560771,-18.85494366,1.0,191:191:255
492,-56.2990795,-18.56916995,2.00050249,127:127:255
493,-56.67159549,-18.83980402,0.99902083,191:191:255
494,-56.43076968,-18.43381635,0.00156328,255:255:255
495,-56.40022081,-18.70094632,2.00105355,255:128:128
496,-56.91751327,-18.79715871,2.0,127:127:255
497,-56.43967666,-18.72046785,1.99895573,127:127:255
